X/D,MA,MB,MC,MD,New Method,PIV
6.2416,0.0622,0.3284,0.2780,0.4872,0.1588,0.2339
6.3423,0.0577,0.3234,0.2821,0.4905,0.1788,0.2411
6.4430,0.0556,0.3201,0.2877,0.4949,0.1971,0.2460
6.5436,0.0554,0.3184,0.2947,0.5000,0.2184,0.2584
6.6443,0.0569,0.3180,0.3028,0.5059,0.2370,0.2665
6.7450,0.0597,0.3187,0.3117,0.5123,0.2580,0.2847
6.8456,0.0635,0.3202,0.3213,0.5192,0.2759,0.3062
6.9463,0.0682,0.3224,0.3314,0.5263,0.2934,0.3258
7.0470,0.0734,0.3251,0.3419,0.5337,0.3106,0.3397
7.1477,0.0790,0.3282,0.3526,0.5412,0.3291,0.3675
7.2483,0.0849,0.3315,0.3634,0.5488,0.3450,0.3811
7.3490,0.0911,0.3350,0.3744,0.5565,0.3604,0.4022
7.4497,0.0974,0.3387,0.3854,0.5642,0.3754,0.4162
7.5503,0.1104,0.3464,0.4073,0.5795,0.3900,0.4344
7.6510,0.1170,0.3504,0.4182,0.5871,0.4058,0.4524
7.7517,0.1237,0.3545,0.4290,0.5946,0.4192,0.4623
7.8523,0.1306,0.3588,0.4397,0.6020,0.4324,0.4744
7.9530,0.1375,0.3631,0.4502,0.6093,0.4451,0.4894
8.0537,0.1445,0.3676,0.4607,0.6165,0.4575,0.5027
8.1544,0.1517,0.3722,0.4709,0.6236,0.4695,0.5137
8.2550,0.1589,0.3769,0.4810,0.6305,0.4812,0.5236
8.3557,0.1663,0.3818,0.4910,0.6373,0.4925,0.5421
8.4564,0.1738,0.3868,0.5007,0.6440,0.5035,0.5432
8.5570,0.1814,0.3919,0.5102,0.6505,0.5154,0.5512
8.6577,0.1892,0.3972,0.5195,0.6568,0.5256,0.5599
8.7584,0.1971,0.4026,0.5287,0.6630,0.5355,0.5655
8.8591,0.2051,0.4082,0.5376,0.6691,0.5451,0.5735
8.9597,0.2133,0.4140,0.5463,0.6750,0.5545,0.5800
9.0604,0.2216,0.4199,0.5547,0.6807,0.5635,0.5809
9.1611,0.2300,0.4259,0.5630,0.6863,0.5723,0.5894
9.2617,0.2385,0.4320,0.5711,0.6917,0.5808,0.5834
9.3624,0.2472,0.4383,0.5789,0.6970,0.5891,0.5817
9.4631,0.2559,0.4447,0.5866,0.7021,0.5971,0.5777
9.5638,0.2647,0.4512,0.5940,0.7071,0.6048,0.5764
9.6644,0.2735,0.4577,0.6012,0.7120,0.6123,0.5554
9.7651,0.2825,0.4644,0.6083,0.7167,0.6196,NaN
9.8658,0.2914,0.4711,0.6151,0.7213,0.6267,NaN
9.9664,0.3004,0.4778,0.6218,0.7257,0.6335,NaN
10.0671,0.0424,0.4196,0.4450,0.6610,0.4505,NaN
10.1678,0.0195,0.4101,0.4299,0.6492,0.4366,NaN
10.2685,-0.0036,0.3989,0.4148,0.6362,0.4230,NaN
10.3691,-0.0264,0.3864,0.4001,0.6225,0.4104,NaN
10.4698,-0.0482,0.3731,0.3861,0.6085,0.3991,NaN
10.5705,-0.0685,0.3595,0.3734,0.5950,0.3877,0.1707
10.6711,-0.0868,0.3462,0.3622,0.5823,0.3800,0.2135
10.7718,-0.1028,0.3337,0.3529,0.5709,0.3745,0.2242
10.8725,-0.1160,0.3225,0.3456,0.5613,0.3713,0.2290
10.9732,-0.1265,0.3128,0.3405,0.5534,0.3703,0.2302
11.0738,-0.1340,0.3050,0.3375,0.5476,0.3713,0.2325
11.1745,-0.1388,0.2990,0.3366,0.5437,0.3742,0.2379
11.2752,-0.1411,0.2948,0.3375,0.5416,0.3832,0.2428
11.3758,-0.1410,0.2923,0.3401,0.5412,0.3894,0.2463
11.4765,-0.1390,0.2912,0.3442,0.5422,0.3965,0.2552
11.5772,-0.1354,0.2915,0.3494,0.5445,0.4043,0.2677
11.6779,-0.1305,0.2927,0.3555,0.5477,0.4125,0.2779
11.7785,-0.1245,0.2947,0.3624,0.5517,0.4211,0.2938
11.8792,-0.1179,0.2974,0.3699,0.5564,0.4299,0.3047
11.9799,-0.1107,0.3005,0.3778,0.5615,0.4388,0.3210
12.0805,-0.1031,0.3039,0.3860,0.5671,0.4478,0.3446
12.1812,-0.0953,0.3076,0.3945,0.5729,0.4567,0.3627
12.2819,-0.0872,0.3115,0.4032,0.5791,0.4657,0.3770
12.3826,-0.0790,0.3155,0.4120,0.5854,0.4746,0.4000
12.4832,-0.0708,0.3197,0.4210,0.5919,0.4834,0.4199
12.5839,-0.0624,0.3239,0.4300,0.5985,0.4921,0.4372
12.6846,-0.0540,0.3283,0.4391,0.6052,0.5021,0.4601
12.7852,-0.0455,0.3327,0.4482,0.6120,0.5106,0.4780
12.8859,-0.0369,0.3373,0.4573,0.6188,0.5190,0.4944
12.9866,-0.0283,0.3419,0.4664,0.6257,0.5273,0.5078
13.0872,-0.0196,0.3466,0.4754,0.6326,0.5355,0.5198
13.1879,-0.0108,0.3515,0.4845,0.6394,0.5436,0.5276
13.2886,-0.0020,0.3565,0.4934,0.6463,0.5516,0.5378
13.3893,0.0070,0.3616,0.5023,0.6531,0.5595,0.5429
13.4899,0.0161,0.3668,0.5111,0.6599,0.5673,0.5544
13.5906,0.0253,0.3722,0.5198,0.6665,0.5750,0.5652
13.6913,0.0345,0.3777,0.5284,0.6731,0.5825,0.5728
13.7919,0.0439,0.3833,0.5368,0.6796,0.5899,0.5856
13.8926,0.0535,0.3891,0.5452,0.6860,0.5972,0.5988
13.9933,0.0631,0.3950,0.5533,0.6923,0.6044,0.6076
14.0940,0.0728,0.4011,0.5613,0.6984,0.6114,0.6106
14.1946,0.0826,0.4073,0.5692,0.7045,0.6183,0.6204
14.2953,0.0925,0.4136,0.5769,0.7103,0.6250,0.6295
14.3960,0.1025,0.4200,0.5844,0.7161,0.6316,0.6409
14.4966,0.1126,0.4265,0.5918,0.7217,0.6380,0.6426
14.5973,0.1227,0.4331,0.5990,0.7271,0.6443,0.6500
14.6980,0.1329,0.4398,0.6060,0.7324,0.6504,0.6549
14.7987,0.1431,0.4465,0.6128,0.7376,0.6564,0.6583
14.8993,0.1533,0.4533,0.6195,0.7426,0.6623,0.6655
15.0000,0.1636,0.4602,0.6261,0.7475,0.6680,0.6687
